date, pm10, no2, so2, co
2021/2/12, 46, 16, , 4
2021/2/13, 31, 9, , 3
2021/2/14, 28, 26, , 7
2021/2/15, 62, 22, , 9
2021/2/16, 55, 19, , 5
2021/2/17, 32, 21, , 6
2021/2/18, 42, 21, , 6
2021/2/19, 49, 22, , 8
2021/2/20, 66, 14, , 6
2021/2/21, 44, 20, , 7
2021/2/22, 55, 22, , 7
2021/2/23, 63, 31, , 14
2021/2/24, 98, 28, , 13
2021/2/25, 79, 22, , 7
2021/2/26, 56, 12, , 3
2021/2/27, 27, 6, , 3
2021/2/28, 23, 15, , 4
2021/3/1, 34, 21, , 5
2021/3/2, 56, 21, , 10
2021/3/3, 67, 17, , 5
2021/3/4, 52, 23, , 4
2021/3/5, 35, 15, , 4
2021/3/6, 33, 7, , 3
2021/3/7, 24, 27, , 5
2021/3/8, 46, 21, , 10
2021/3/9, 72, 22, , 6
2021/3/10, 61, 14, , 4
2021/3/11, 45, 18, , 3
2021/3/12, 23, 8, , 2
2021/3/13, 18, 7, , 2
2021/3/14, 16, 24, , 6
2021/3/15, 60, 23, , 9
2021/3/16, 50, 19, , 4
