date, pm10, o3, no2, so2
2021/7/9, 21, 39, 3, 3
2021/7/10, 7, 27, 4, 2
2021/7/11, 11, 32, 2, 2
2021/7/12, 8, 43, 2, 2
2021/7/13, 18, 45, 3, 2
2021/7/14, 23, 34, 3, 1
2021/7/15, 18, 40, 6, 2
2021/7/16, 20, , , 
2021/7/18, 15, 31, 6, 2
2021/7/19, 14, 26, 4, 2
2021/7/20, 17, 32, 4, 2
2021/7/21, 14, 37, 4, 2
2021/7/22, 14, 39, 4, 2
2021/7/23, 16, 45, 4, 2
2021/7/24, 15, 44, 2, 2
2021/7/25, 17, 40, 2, 2
2021/7/26, 7, 41, 4, 3
2021/7/27, 13, 39, 2, 2
2021/7/28, 16, 36, 3, 3
2021/7/29, 11, 42, 3, 3
2021/7/30, 10, 39, 1, 2
2021/7/31, 10, 27, 2, 2
2021/8/1, 6, 27, 2, 2
2021/8/2, 6, 30, 2, 1
2021/8/3, 7, 32, 2, 1
2021/8/4, 7, 20, 5, 1
2021/8/5, 5, 28, 3, 1
2021/8/6, 7, 40, 1, 1
2021/8/7, 7, 35, 1, 2
2021/8/8, 6, 34, 2, 2
2021/8/9, 7, 32, 3, 2
2021/8/10, 9, 36, 4, 3
2021/8/11, 10, 38, 3, 2
2021/8/12, 12, 37, 2, 2
2021/8/13, 12, 43, 2, 2
2021/8/14, 15, 41, 2, 2
2021/8/15, 14, 44, 1, 2
2021/8/16, 11, 30, 2, 2
2021/8/17, 7, 33, 1, 2
2021/8/18, 9, 26, 2, 2
2021/8/19, 6, 23, 2, 2
2021/8/20, 7, 39, 3, 2
2021/8/21, 10, 22, 2, 2
2021/8/22, 9, 26, 2, 2
2021/8/23, 6, 24, 3, 2
2021/8/24, 8, 32, 2, 2
2021/8/25, 13, 30, 2, 2
2021/8/26, 9, 17, 3, 2
2021/8/27, 7, 18, 1, 2
2021/8/28, 5, 20, 2, 2
2021/8/29, 7, 20, 5, 2
2021/8/30, 10, 20, 4, 2
2021/8/31, 4, 21, 6, 2
2021/9/1, 10, 20, 5, 2
2021/9/2, 12, 28, 3, 2
2021/9/3, 10, 39, 3, 2
2021/9/4, 13, 29, 1, 2
2021/9/5, 11, 26, 4, 2
2021/9/6, 8, 36, 2, 2
2021/9/7, 11, 36, 2, 2
2021/9/8, 14, 43, 1, 2
2021/9/9, 14, 39, 2, 2
2021/9/10, 13, 37, 6, 2
2021/9/11, 15, 40, 3, 2
2021/9/12, 11, 30, 4, 3
2021/9/13, 14, 37, 3, 2
2021/9/14, 13, 35, 2, 2
2021/9/15, 13, 33, 5, 2
2021/9/16, 15, 20, 5, 2
2021/9/17, 7, 22, 3, 2
2021/9/18, 6, 15, 3, 2
2021/9/19, 10, 18, 7, 2
2021/9/20, 14, 24, 4, 3
2021/9/21, 13, 18, 7, 3
2021/9/22, 10, 29, 2, 2
2021/9/23, 11, 21, 4, 4
2021/9/24, 10, 28, 3, 2
2021/9/25, 11, 29, 4, 2
2021/9/26, 11, 14, 6, 2
2021/9/27, 18, 17, 7, 3
2021/9/28, 25, 7, 3, 2
2021/9/29, 13, , , 
2021/4/1, 22, 27, 6, 2
2021/4/2, 20, 24, 6, 1
2021/4/3, 15, 28, 5, 2
2021/4/4, 13, 36, 1, 1
2021/4/5, 9, 30, 3, 2
2021/4/6, 8, 28, 4, 3
2021/4/7, 10, 27, 3, 2
2021/4/8, 10, 40, 2, 1
2021/4/9, 9, 43, 2, 1
2021/4/10, 12, 41, 1, 1
2021/4/11, 11, 39, 5, 2
2021/4/12, 16, 23, 11, 2
2021/4/13, 15, 24, 10, 2
2021/4/14, 17, 23, 9, 2
2021/4/15, 12, 21, 6, 3
2021/4/16, 11, 21, 5, 2
2021/4/17, 18, 25, 4, 2
2021/4/18, 20, 19, 7, 2
2021/4/19, 28, 30, 6, 2
2021/4/20, 24, 37, 4, 2
2021/4/21, 18, 29, 5, 2
2021/4/22, 16, 30, 5, 3
2021/4/23, 15, 33, 3, 3
2021/4/24, 16, 33, 4, 2
2021/4/25, 19, 35, 4, 3
2021/4/26, 16, 38, 5, 2
2021/4/27, 17, 44, 2, 2
2021/4/28, 13, 36, 2, 2
2021/4/29, 16, 40, 5, 2
2021/4/30, 12, 21, 8, 2
2021/5/1, 36, 27, 5, 2
2021/5/2, 15, 33, 3, 2
2021/5/3, 9, 45, 1, 2
2021/5/4, 9, 42, 2, 2
2021/5/5, 8, 35, 2, 2
2021/5/6, 7, 31, 3, 2
2021/5/7, 7, 35, 4, 2
2021/5/8, 8, 45, 1, 2
2021/5/9, 8, 42, 1, 2
2021/5/10, 12, 45, 1, 2
2021/5/11, 14, 44, 3, 2
2021/5/12, 14, 22, 4, 2
2021/5/13, 12, 18, 5, 2
2021/5/14, 8, 33, 1, 2
2021/5/15, 8, 30, 2, 2
2021/5/16, 6, 26, 4, 2
2021/5/17, 5, 28, 6, 2
2021/5/18, 8, 30, 4, 2
2021/5/19, 10, 33, 6, 2
2021/5/20, 13, 38, 1, 2
2021/5/21, 8, 31, 2, 2
2021/5/22, 7, 31, 1, 2
2021/5/23, 6, 34, , 1
2021/5/24, 7, 35, 2, 1
2021/5/25, 6, 39, 1, 
2021/5/26, 7, 34, 3, 2
