date, pm25
2017/3/5, 82
2017/3/6, 48
2017/3/7, 38
2017/3/8, 55
2017/3/9, 71
2017/3/10, 93
2017/3/11, 51
2017/3/12, 27
2017/3/13, 34
2017/3/14, 56
2017/3/15, 48
2017/3/16, 25
2017/3/17, 53
2017/3/18, 35
2017/3/19, 44
2017/3/20, 56
2017/3/21, 64
2017/3/22, 55
2017/3/23, 74
2017/3/24, 42
2017/3/25, 37
2017/3/26, 32
2017/3/27, 56
2017/3/28, 49
2017/3/29, 52
2017/3/30, 36
2017/3/31, 47
2016/10/1, 42
2016/10/2, 54
2016/10/3, 27
2016/10/4, 12
2016/10/5, 13
2016/10/6, 16
2016/10/7, 13
2016/10/8, 19
2016/10/9, 34
2016/10/10, 17
2016/10/11, 22
2016/10/12, 27
2016/10/13, 35
2016/10/14, 40
2016/10/15, 27
2016/10/16, 33
2016/10/17, 37
2016/10/18, 46
2016/10/19, 56
2016/10/20, 60
2016/10/21, 63
2016/10/22, 45
2016/10/23, 44
2016/10/24, 52
2016/10/25, 29
2016/10/26, 20
2016/10/27, 64
2016/10/28, 58
2016/10/29, 12
2016/10/30, 17
2016/10/31, 16
2016/11/1, 28
2016/11/2, 24
2016/11/3, 19
2016/11/4, 38
2016/11/5, 52
2016/11/6, 75
2016/11/7, 43
2016/11/8, 60
2016/11/9, 32
2016/11/10, 34
2016/11/11, 47
2016/11/12, 64
2016/11/13, 40
2016/11/14, 34
2016/11/15, 68
2016/11/16, 51
2016/11/17, 60
2016/11/18, 75
2016/11/19, 79
2016/11/20, 51
2016/11/21, 52
2016/11/22, 46
2016/11/23, 65
2016/11/24, 63
2016/11/25, 25
2016/11/26, 44
2016/11/27, 15
2016/11/28, 30
2016/11/29, 64
2016/11/30, 26
2016/12/1, 33
2016/12/2, 33
2016/12/3, 29
2016/12/4, 58
2016/12/5, 33
2016/12/6, 24
2016/12/7, 66
2016/12/8, 35
2016/12/9, 24
2016/12/10, 19
2016/12/11, 23
2016/12/12, 37
2016/12/13, 44
2016/12/14, 44
2016/12/15, 27
2016/12/16, 42
2016/12/17, 63
2016/12/18, 59
2016/12/19, 31
2016/12/20, 50
2016/12/21, 51
2016/12/22, 112
2016/12/23, 53
2016/12/24, 51
2016/12/25, 26
2016/12/26, 25
2016/12/27, 20
2016/12/28, 22
2016/12/29, 47
2016/12/30, 61
2016/12/31, 59
2017/1/1, 53
2016/7/1, 49
2016/7/2, 46
2016/7/3, 34
2016/7/4, 25
2016/7/5, 27
2016/7/6, 41
2016/7/7, 28
2016/7/8, 29
2016/7/10, 43
2016/7/11, 53
2016/7/12, 43
