year,month,city,station_name,station_lat,station_lon,pm25,pm10,o3,no2,so2,co
2014,10,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,21.096774193548388,11.870967741935484,6.419354838709677,3.3870967741935485,1.8387096774193548
2014,9,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,18.166666666666668,21.966666666666665,4.9,1.7333333333333334,1.2857142857142858
2014,8,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,11.133333333333333,26.483870967741936,3.4838709677419355,2.409090909090909,1.0
2014,7,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,16.580645161290324,28.225806451612904,3.4516129032258065,1.6451612903225807,1.2307692307692308
2014,6,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,9.4,23.3,3.2,1.1333333333333333,1.2142857142857142
2014,5,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,11.571428571428571,25.586206896551722,4.931034482758621,1.3793103448275863,1.4814814814814814
2014,4,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,14.166666666666666,29.413793103448278,4.9655172413793105,1.9310344827586208,1.8620689655172413
2014,3,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,15.733333333333333,24.333333333333332,5.233333333333333,2.5,1.8333333333333333
2014,2,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,28.392857142857142,13.48,11.916666666666666,5.32,5.28
2014,1,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,16.612903225806452,17.586206896551722,6.096774193548387,3.4516129032258065,2.225806451612903
2013,12,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,,8.0,7.0,4.0,4.0
2024,5,Gdynia,"Gdynia Dabrowa, Gdansk, Poland",54.465555555556,18.464722222222,45.0,16.714285714285715,37.714285714285715,12.952380952380953,1.0555555555555556,
2024,4,Gdynia,"Gdynia Dabrowa, Gdansk, Poland",54.465555555556,18.464722222222,45.53333333333333,14.533333333333333,36.2,8.133333333333333,1.0666666666666667,
2024,3,Gdynia,"Gdynia Dabrowa, Gdansk, Poland",54.465555555556,18.464722222222,58.645161290322584,20.258064516129032,25.258064516129032,8.225806451612904,1.3225806451612903,
2024,2,Gdynia,"Gdynia Dabrowa, Gdansk, Poland",54.465555555556,18.464722222222,41.3448275862069,11.482758620689655,23.448275862068964,6.423076923076923,1.103448275862069,
2024,1,Gdynia,"Gdynia Dabrowa, Gdansk, Poland",54.465555555556,18.464722222222,45.45161290322581,11.709677419354838,25.483870967741936,5.4,1.032258064516129,
2023,12,Gdynia,"Gdynia Dabrowa, Gdansk, Poland",54.465555555556,18.464722222222,46.483870967741936,13.806451612903226,19.387096774193548,5.733333333333333,1.1428571428571428,
2023,11,Gdynia,"Gdynia Dabrowa, Gdansk, Poland",54.465555555556,18.464722222222,47.06666666666667,13.066666666666666,18.5,6.366666666666666,1.0,
2023,10,Gdynia,"Gdynia Dabrowa, Gdansk, Poland",54.465555555556,18.464722222222,35.74193548387097,10.32258064516129,19.903225806451612,6.407407407407407,1.0,
2023,9,Gdynia,"Gdynia Dabrowa, Gdansk, Poland",54.465555555556,18.464722222222,50.833333333333336,18.9,32.13333333333333,11.733333333333333,1.0,
