city,date,no_of_cars
Tarnów,2019,9219
Tarnów,2020,9360
Tarnów,2021,9390
Tarnów,2022,9504
Toruń,2015,22826
Toruń,2016,23796
Toruń,2017,23550
Toruń,2018,25666
Toruń,2019,25992
Toruń,2020,26377
Toruń,2021,26549
Toruń,2022,26981
Tychy,2015,7344
Tychy,2016,7772
Tychy,2017,7682
Tychy,2018,8349
Tychy,2019,8438
Tychy,2020,8527
Tychy,2021,8530
Tychy,2022,8492
Wałbrzych,2015,2212
Wałbrzych,2016,2765
Wałbrzych,2017,2943
Wałbrzych,2018,3425
Wałbrzych,2019,3530
Wałbrzych,2020,3641
Wałbrzych,2021,3775
Wałbrzych,2022,3853
Warszawa,2015,84606
Warszawa,2016,89283
Warszawa,2017,91031
Warszawa,2018,100978
Warszawa,2019,103047
Warszawa,2020,106891
Warszawa,2021,110526
Warszawa,2022,113727
Włocławek,2015,8982
Włocławek,2016,9358
Włocławek,2017,9296
Włocławek,2018,9875
Włocławek,2019,9909
Włocławek,2020,9937
Włocławek,2021,9970
Włocławek,2022,9894
Wrocław,2015,29265
Wrocław,2016,30561
Wrocław,2017,30339
Wrocław,2018,32535
Wrocław,2019,32565
Wrocław,2020,33386
Wrocław,2021,34204
Wrocław,2022,35171
Zabrze,2015,11526
Zabrze,2016,12072
Zabrze,2017,11053
Zabrze,2018,12490
Zabrze,2019,12540
Zabrze,2020,12739
Zabrze,2021,12837
Zabrze,2022,13037
Zamość,2015,5892
Zamość,2016,6324
Zamość,2017,6400
Zamość,2018,7007
Zamość,2019,7032
Zamość,2020,7313
Zamość,2021,7450
Zamość,2022,7508
Zielona Góra,2015,6250
Zielona Góra,2016,6720
Zielona Góra,2017,6882
Zielona Góra,2018,7619
Zielona Góra,2019,7807
Zielona Góra,2020,7955
Zielona Góra,2021,8020
Zielona Góra,2022,8223
